subtest_id,description,precision,recall,map50,map50_95
test_all,Toàn bộ Test set,0.9394,0.8808,0.9404,0.6468
test_normal,Ảnh điều kiện bình thường,0.9392,0.8813,0.9403,0.6470
test_lowlight,Ảnh thiếu sáng tự nhiên,0.9565,0.8695,0.9381,0.6603
test_lowlight_synth,Ảnh thiếu sáng tổng hợp,0.7207,0.2571,0.3357,0.1884
test_small,Mũ bảo hộ kích thước nhỏ,0.9213,0.7298,0.8245,0.4793
test_lowlight_small,Thiếu sáng & Mũ kích thước nhỏ,0.7109,0.2516,0.3348,0.1625
